记录编号,部门,员工级别,费用类型,报销金额,发票金额,金额差额,发票张数,费用发生后提交天数,审批层级数,近30天同供应商报销次数,员工近30天报销次数,员工近6个月退回次数,同类费用平均金额,高于同类平均金额比例,部门预算使用率,发票抬头是否一致,是否有合同附件,是否周末发生费用,是否疑似重复发票,供应商信用等级,审核结果
R000037,人力资源部,经理,维修费,2044,2044,0,3,58,2,1,4,0,1500,0.3627,1.1738,是,是,否,否,B,人工复核
R000038,采购部,主管,通信费,162,109,53,4,9,1,6,6,2,280,-0.4214,0.7223,是,否,是,否,A,人工复核
R000039,财务部,普通员工,通信费,307,307,0,4,6,1,7,3,0,280,0.0964,0.4992,是,是,否,否,A,通过
R000040,市场部,普通员工,通信费,383,383,0,1,21,1,4,1,0,280,0.3679,0.4499,否,是,否,否,D,人工复核
R000041,财务部,主管,差旅费,2832,2877,45,4,44,2,6,1,0,1800,0.5733,0.8225,是,否,否,否,D,人工复核
R000042,采购部,实习生,咨询服务费,4861,4813,48,1,39,2,7,11,0,6500,-0.2522,0.8603,是,否,否,否,A,人工复核
R000043,行政部,普通员工,培训费,1249,1249,0,4,31,2,0,5,0,2600,-0.5196,1.1219,是,是,否,否,A,通过
R000044,人力资源部,主管,差旅费,1273,1273,0,4,37,2,6,14,0,1800,-0.2928,0.8987,是,是,否,否,C,人工复核
R000045,采购部,普通员工,维修费,2386,2667,281,3,12,2,4,5,0,1500,0.5907,0.5129,是,否,是,否,A,退回
R000046,销售部,主管,会议费,8018,8063,45,7,34,3,1,6,0,3200,1.5056,0.8433,是,否,否,否,D,退回
R000047,信息技术部,普通员工,差旅费,1710,1757,47,3,35,2,3,5,2,1800,-0.05,0.7531,否,否,是,否,C,人工复核
R000048,销售部,实习生,差旅费,1311,1311,0,2,26,2,3,7,0,1800,-0.2717,0.9112,是,否,否,否,A,人工复核
R000049,销售部,经理,差旅费,1546,1546,0,3,29,2,8,2,0,1800,-0.1411,1.0057,是,否,否,否,A,人工复核
R000050,生产部,实习生,差旅费,1207,1207,0,2,25,2,1,3,1,1800,-0.3294,0.8289,否,否,否,否,C,人工复核
R000051,采购部,实习生,招待费,5793,5793,0,4,60,3,6,8,3,2200,1.6332,0.6407,是,否,否,是,B,退回
R000052,人力资源部,主管,交通费,391,391,0,3,8,1,1,2,0,350,0.1171,1.229,是,否,否,是,B,人工复核
R000053,行政部,主管,办公用品,1159,1159,0,2,19,2,8,6,1,700,0.6557,0.3614,是,否,否,否,B,人工复核
R000054,行政部,普通员工,咨询服务费,10012,10012,0,3,33,4,7,6,2,6500,0.5403,1.195,是,是,否,否,B,人工复核
R000055,人力资源部,普通员工,维修费,2424,2424,0,3,45,2,8,3,3,1500,0.616,0.5598,是,是,否,否,A,退回
R000056,财务部,主管,广告宣传费,8851,8851,0,4,24,3,9,3,2,5000,0.7702,0.7828,是,否,否,否,A,人工复核
R000057,信息技术部,主管,招待费,3912,3912,0,2,16,2,3,1,0,2200,0.7782,0.6041,是,否,否,否,A,人工复核
R000058,生产部,主管,通信费,374,374,0,1,42,1,6,5,1,280,0.3357,1.0425,是,否,否,否,C,人工复核
R000059,人力资源部,普通员工,办公用品,1213,1213,0,2,16,2,8,10,0,700,0.7329,0.7388,是,否,否,否,C,人工复核
R000060,行政部,普通员工,交通费,1243,1243,0,3,4,2,3,7,2,350,2.5514,0.4036,否,否,否,否,C,人工复核
R000061,行政部,主管,维修费,1539,1539,0,2,1,2,8,3,3,1500,0.026,0.7805,是,是,否,否,B,人工复核
R000062,生产部,普通员工,培训费,2824,2784,40,4,15,2,5,7,0,2600,0.0862,0.7974,是,是,否,否,B,通过
R000063,信息技术部,普通员工,招待费,4038,4013,25,4,6,2,7,4,0,2200,0.8355,0.431,是,否,否,否,A,通过
R000064,人力资源部,主管,广告宣传费,4647,4827,180,1,30,2,5,2,0,5000,-0.0706,0.3848,是,否,是,否,A,人工复核
R000065,市场部,普通员工,办公用品,1193,1149,44,3,6,2,6,6,0,700,0.7043,1.0023,是,否,否,否,A,通过
R000066,人力资源部,普通员工,咨询服务费,2770,2770,0,1,29,2,2,4,0,6500,-0.5738,0.8035,是,是,否,否,B,通过
R000067,市场部,普通员工,招待费,1205,1205,0,1,15,2,5,1,2,2200,-0.4523,0.5884,是,否,是,否,B,通过
R000068,信息技术部,主管,交通费,985,985,0,5,33,1,4,5,0,350,1.8143,1.2475,是,否,是,否,A,退回
R000069,销售部,普通员工,招待费,1381,1363,18,3,12,2,7,5,2,2200,-0.3723,0.832,是,否,否,否,A,通过
R000070,行政部,普通员工,交通费,1357,1416,59,4,28,2,6,2,0,350,2.8771,0.8718,是,否,否,否,B,人工复核
R000071,市场部,普通员工,差旅费,1248,1248,0,1,28,2,1,3,0,1800,-0.3067,0.5954,是,是,否,是,D,退回
R000072,销售部,主管,交通费,187,187,0,2,81,1,5,5,1,350,-0.4657,0.6221,是,是,否,否,B,退回
R000073,人力资源部,主管,广告宣传费,7223,7223,0,1,10,3,8,3,0,5000,0.4446,0.4038,是,是,否,否,A,通过
R000074,信息技术部,普通员工,差旅费,2564,2530,34,1,6,2,2,3,0,1800,0.4244,0.632,是,否,否,否,A,通过
R000075,财务部,普通员工,培训费,3427,3427,0,2,27,2,0,2,0,2600,0.3181,0.9808,是,否,否,否,B,人工复核
R000076,信息技术部,普通员工,招待费,4585,4592,7,8,31,2,1,3,0,2200,1.0841,0.747,是,否,否,否,C,人工复核
R000077,市场部,普通员工,差旅费,2327,2327,0,4,28,2,3,5,0,1800,0.2928,0.8422,是,否,否,否,A,通过
R000078,销售部,普通员工,办公用品,3051,3051,0,4,14,2,2,7,1,700,3.3586,0.5123,是,否,否,否,B,人工复核
R000079,行政部,实习生,招待费,4580,4580,0,6,15,2,3,6,0,2200,1.0818,0.3841,是,是,是,否,A,人工复核
R000080,销售部,普通员工,咨询服务费,6584,6584,0,4,43,3,8,3,0,6500,0.0129,0.4282,是,否,否,否,A,退回
R000081,信息技术部,普通员工,办公用品,1208,1208,0,2,8,2,0,7,1,700,0.7257,0.494,否,否,否,否,C,人工复核
R000082,销售部,主管,差旅费,1310,1085,225,3,24,2,2,2,0,1800,-0.2722,0.6722,是,否,否,否,A,人工复核
R000083,行政部,普通员工,差旅费,2746,2785,39,3,21,2,4,4,0,1800,0.5256,1.0429,是,否,否,否,A,人工复核
R000084,销售部,主管,咨询服务费,13915,13915,0,5,15,4,8,5,1,6500,1.1408,0.6789,是,是,否,否,C,人工复核
R000085,行政部,普通员工,办公用品,580,580,0,1,21,1,18,6,2,700,-0.1714,0.9614,是,是,否,否,A,人工复核
R000086,财务部,主管,办公用品,999,1001,2,1,12,1,8,1,0,700,0.4271,0.4427,是,是,否,否,C,通过
R000087,行政部,普通员工,交通费,473,473,0,2,8,1,6,4,0,350,0.3514,0.3718,是,否,否,否,A,通过
R000088,人力资源部,主管,招待费,1314,540,774,4,33,2,3,2,0,2200,-0.4027,1.0085,是,否,否,否,C,人工复核
R000089,采购部,普通员工,办公用品,1270,1270,0,1,39,2,6,4,0,700,0.8143,0.5019,是,否,否,否,B,通过
R000090,行政部,普通员工,培训费,3383,3383,0,3,8,2,4,3,0,2600,0.3012,1.0382,是,否,否,否,B,人工复核
R000091,人力资源部,普通员工,培训费,2970,2970,0,1,11,2,5,5,2,2600,0.1423,0.5656,是,否,否,否,A,人工复核
R000092,市场部,主管,招待费,963,963,0,1,77,1,15,1,0,2200,-0.5623,0.8861,是,是,否,否,B,退回
R000093,财务部,经理,招待费,2603,2632,29,4,19,2,6,4,2,2200,0.1832,0.5356,否,否,否,否,B,人工复核
R000094,行政部,主管,广告宣传费,4389,4389,0,2,29,2,4,7,0,5000,-0.1222,0.3679,是,是,是,否,C,通过
R000095,采购部,经理,招待费,4068,4073,5,3,10,2,7,2,3,2200,0.8491,0.5577,是,是,是,否,D,人工复核
R000096,财务部,普通员工,咨询服务费,13219,13219,0,4,31,4,3,5,3,6500,1.0337,0.9164,是,是,是,否,A,退回
R000097,行政部,普通员工,维修费,4421,4421,0,7,20,2,4,3,0,1500,1.9473,1.1041,是,是,否,否,C,人工复核
R000098,采购部,普通员工,差旅费,2673,2632,41,2,6,2,9,11,1,1800,0.485,1.1155,否,否,是,否,A,人工复核
R000099,人力资源部,经理,办公用品,888,888,0,2,29,1,2,7,0,700,0.2686,0.6202,是,是,否,否,B,通过
R000100,信息技术部,主管,办公用品,1129,1129,0,1,42,2,5,2,0,700,0.6129,0.804,是,否,是,否,A,通过
R000101,采购部,主管,差旅费,2593,2557,36,4,4,2,7,5,1,1800,0.4406,0.3984,是,否,是,否,A,通过
R000102,财务部,普通员工,招待费,3887,3887,0,1,27,2,1,6,1,2200,0.7668,0.3925,是,否,是,否,A,人工复核
R000103,生产部,普通员工,会议费,4244,4189,55,1,54,2,4,6,0,3200,0.3262,0.6152,是,是,否,否,C,人工复核
R000104,人力资源部,普通员工,交通费,345,345,0,1,42,1,2,5,1,350,-0.0143,0.9393,是,是,否,否,A,人工复核
R000105,采购部,主管,差旅费,2828,2828,0,2,2,2,2,1,0,1800,0.5711,0.7165,是,否,否,否,B,人工复核
R000106,生产部,普通员工,招待费,1969,1969,0,1,35,2,6,5,0,2200,-0.105,0.64,是,否,否,否,A,通过
R000107,行政部,普通员工,差旅费,2372,2372,0,3,16,2,8,4,1,1800,0.3178,0.5041,是,否,否,否,A,通过
R000108,生产部,普通员工,交通费,325,325,0,2,44,1,3,1,1,350,-0.0714,1.0492,是,否,是,否,A,退回
R000109,销售部,普通员工,差旅费,2928,2944,16,1,26,2,4,5,0,1800,0.6267,0.4727,否,否,是,否,B,通过
R000110,行政部,实习生,会议费,3081,3081,0,2,2,2,2,2,1,3200,-0.0372,0.8826,是,是,否,否,A,通过
R000111,财务部,普通员工,办公用品,590,590,0,3,53,1,2,4,0,700,-0.1571,0.5822,是,否,否,否,B,通过
R000112,人力资源部,主管,交通费,243,243,0,3,18,1,1,5,0,350,-0.3057,0.7248,是,否,否,否,A,通过
R000113,市场部,经理,招待费,1674,1674,0,3,7,2,3,6,0,2200,-0.2391,0.5547,否,否,否,否,A,通过
R000114,人力资源部,普通员工,广告宣传费,3673,3673,0,2,2,2,5,14,0,5000,-0.2654,0.5855,是,是,是,否,A,通过
R000115,生产部,普通员工,办公用品,463,463,0,2,40,1,4,16,0,700,-0.3386,0.8009,是,否,是,否,A,人工复核
R000116,生产部,普通员工,差旅费,1213,1213,0,3,21,2,2,4,0,1800,-0.3261,0.6528,是,是,否,否,A,通过
R000117,采购部,主管,培训费,2849,2849,0,2,18,2,2,6,2,2600,0.0958,0.6282,是,否,是,否,B,人工复核
R000118,生产部,普通员工,差旅费,3656,3656,0,4,41,2,7,2,1,1800,1.0311,0.9316,是,否,是,否,A,人工复核
R000119,生产部,主管,咨询服务费,24042,24042,0,4,31,4,6,5,2,6500,2.6988,0.3947,是,否,否,否,A,人工复核
R000120,市场部,实习生,交通费,397,397,0,1,56,1,7,17,1,350,0.1343,0.5855,是,否,否,是,A,退回
R000121,销售部,经理,广告宣传费,8475,8475,0,4,37,3,5,5,1,5000,0.695,0.3948,是,是,否,否,C,退回
R000122,财务部,普通员工,差旅费,1452,1408,44,1,42,2,7,7,0,1800,-0.1933,0.7955,是,是,否,否,A,通过
R000123,行政部,普通员工,办公用品,1187,1365,178,1,12,2,4,7,2,700,0.6957,0.8715,是,否,否,否,A,人工复核
R000124,生产部,普通员工,招待费,2929,2929,0,1,38,2,7,1,2,2200,0.3314,1.0077,是,否,否,否,B,人工复核
R000125,生产部,主管,交通费,486,486,0,3,8,1,9,5,0,350,0.3886,0.8724,是,否,否,否,A,通过
R000126,行政部,主管,维修费,2441,2441,0,3,15,2,3,5,0,1500,0.6273,0.7646,否,是,否,否,A,退回
R000127,采购部,普通员工,办公用品,926,874,52,4,32,1,0,5,0,700,0.3229,0.5343,是,否,否,否,B,通过
R000128,生产部,实习生,维修费,1480,1480,0,1,23,2,17,3,0,1500,-0.0133,0.6614,是,是,否,否,A,人工复核
R000129,财务部,普通员工,办公用品,244,244,0,1,6,1,5,4,0,700,-0.6514,0.6789,是,否,否,否,B,通过
R000130,生产部,普通员工,差旅费,1574,1574,0,2,85,2,8,7,2,1800,-0.1256,0.4554,是,否,否,否,B,退回
R000131,生产部,实习生,差旅费,2610,2653,43,3,27,2,9,5,1,1800,0.45,0.5724,是,否,否,否,B,人工复核
R000132,行政部,普通员工,广告宣传费,8463,8463,0,4,16,3,6,6,0,5000,0.6926,1.0536,是,是,否,否,A,退回
R000133,人力资源部,普通员工,培训费,1593,1593,0,3,25,2,3,1,2,2600,-0.3873,0.8235,是,是,否,否,D,通过
R000134,信息技术部,普通员工,差旅费,2700,2700,0,1,34,2,7,4,0,1800,0.5,0.7718,是,是,否,否,A,通过
R000135,市场部,主管,交通费,608,608,0,2,3,1,3,6,0,350,0.7371,0.4084,是,否,否,否,A,通过
R000136,财务部,普通员工,差旅费,3264,3264,0,4,37,2,1,8,2,1800,0.8133,0.7798,是,否,是,否,A,人工复核
R000137,财务部,普通员工,维修费,1581,1581,0,4,2,2,8,2,0,1500,0.054,0.7631,是,是,否,否,A,通过
R000138,销售部,普通员工,培训费,5018,5018,0,1,13,3,6,7,0,2600,0.93,0.6507,是,是,否,是,A,人工复核
R000139,行政部,经理,交通费,283,283,0,4,84,1,6,7,1,350,-0.1914,0.4806,是,否,否,否,A,人工复核
R000140,行政部,实习生,招待费,1635,1635,0,4,43,2,8,6,3,2200,-0.2568,0.9679,是,是,否,是,A,退回
R000141,财务部,主管,差旅费,1191,1191,0,4,3,2,4,3,0,1800,-0.3383,0.5412,是,是,否,否,D,人工复核
R000142,销售部,经理,会议费,5053,5053,0,4,30,3,5,4,0,3200,0.5791,0.5594,是,是,否,否,A,通过
R000143,行政部,实习生,办公用品,1038,1023,15,4,21,2,0,4,0,700,0.4829,0.495,否,否,否,否,C,人工复核
R000144,行政部,普通员工,交通费,531,531,0,2,37,1,0,3,1,350,0.5171,0.9786,是,否,否,否,B,退回
R000145,人力资源部,普通员工,通信费,529,529,0,2,37,1,13,5,0,280,0.8893,0.6227,是,是,否,否,A,人工复核
R000146,销售部,主管,差旅费,913,913,0,2,41,1,14,4,0,1800,-0.4928,1.0663,是,否,是,否,A,人工复核
R000147,销售部,普通员工,差旅费,2720,2720,0,3,34,2,4,15,2,1800,0.5111,0.6534,是,是,是,否,C,人工复核
R000148,行政部,主管,维修费,1005,1005,0,2,38,2,1,2,0,1500,-0.33,0.7721,是,是,否,否,A,通过
R000149,销售部,普通员工,培训费,1954,1954,0,2,22,2,17,1,4,2600,-0.2485,0.5332,是,是,否,否,C,人工复核
R000150,人力资源部,主管,交通费,729,729,0,5,21,1,11,2,1,350,1.0829,0.5735,是,否,否,否,B,人工复核
R000151,财务部,普通员工,维修费,849,849,0,3,43,1,1,1,0,1500,-0.434,0.4658,是,是,否,否,C,通过
R000152,信息技术部,普通员工,办公用品,485,439,46,1,34,1,1,3,2,700,-0.3071,0.8243,否,是,否,否,B,人工复核
R000153,信息技术部,普通员工,交通费,582,582,0,3,25,1,1,2,3,350,0.6629,1.0903,是,否,是,否,A,人工复核
R000154,行政部,普通员工,培训费,3510,3510,0,3,24,2,4,17,0,2600,0.35,0.6828,是,否,否,否,B,人工复核
R000155,人力资源部,主管,差旅费,1667,1667,0,1,40,2,2,6,0,1800,-0.0739,0.8231,是,否,否,是,C,人工复核
R000156,销售部,普通员工,培训费,1144,1144,0,3,4,2,4,5,2,2600,-0.56,0.988,是,是,否,否,C,人工复核
R000157,人力资源部,主管,交通费,698,698,0,2,4,1,1,7,0,350,0.9943,0.8231,是,否,是,否,A,人工复核
R000158,行政部,主管,交通费,1434,1434,0,5,6,2,2,6,3,350,3.0971,1.0156,是,否,否,否,C,退回
R000159,市场部,主管,通信费,1048,1048,0,7,8,2,0,5,0,280,2.7429,0.5581,是,否,否,否,B,通过
R000160,生产部,普通员工,交通费,1123,1123,0,8,2,2,0,4,0,350,2.2086,0.662,是,否,否,否,C,人工复核
R000161,行政部,普通员工,差旅费,777,777,0,2,19,1,4,5,1,1800,-0.5683,0.5011,是,是,否,否,A,通过
R000162,采购部,普通员工,差旅费,2235,2235,0,1,16,2,7,7,0,1800,0.2417,0.74,是,否,否,否,A,通过
R000163,行政部,主管,差旅费,2139,2139,0,1,22,2,5,6,1,1800,0.1883,0.5702,是,是,是,否,C,通过
R000164,信息技术部,普通员工,维修费,1783,1783,0,3,36,2,0,6,0,1500,0.1887,0.6731,是,是,否,否,A,通过
R000165,财务部,普通员工,通信费,137,137,0,4,15,1,3,1,0,280,-0.5107,1.0703,是,否,否,否,B,人工复核
R000166,市场部,实习生,会议费,6061,6061,0,1,22,3,3,5,0,3200,0.8941,0.3952,是,是,否,否,B,通过
R000167,行政部,经理,培训费,5838,5838,0,6,44,3,7,5,1,2600,1.2454,0.4833,是,是,否,否,B,通过
R000168,销售部,主管,会议费,3449,3449,0,2,33,2,8,4,3,3200,0.0778,0.4107,是,是,否,否,A,人工复核
R000169,财务部,主管,差旅费,7566,7726,160,2,22,3,8,7,1,1800,3.2033,0.4443,是,否,是,否,A,退回
R000170,人力资源部,主管,培训费,4755,4755,0,1,30,2,1,4,0,2600,0.8288,0.4287,是,是,否,否,C,人工复核
R000171,行政部,普通员工,办公用品,591,591,0,1,43,1,0,1,0,700,-0.1557,0.6788,否,否,否,否,B,退回
R000172,市场部,经理,招待费,3168,3168,0,4,20,2,15,2,2,2200,0.44,0.6943,是,是,否,否,A,人工复核
R000173,人力资源部,普通员工,维修费,806,806,0,1,37,1,3,2,0,1500,-0.4627,0.5169,否,是,否,否,A,人工复核
R000174,市场部,实习生,差旅费,3263,3263,0,1,36,2,2,2,0,1800,0.8128,0.6134,是,否,否,否,C,人工复核
R000175,信息技术部,普通员工,交通费,491,502,11,1,72,1,8,7,0,350,0.4029,0.5687,是,否,否,否,A,人工复核
R000176,财务部,普通员工,差旅费,2605,2605,0,2,45,2,5,4,0,1800,0.4472,0.3583,是,是,是,否,A,通过
R000177,财务部,普通员工,维修费,2734,2734,0,4,1,2,12,16,1,1500,0.8227,0.7532,否,否,否,否,B,退回
R000178,市场部,普通员工,维修费,1839,1812,27,3,31,2,19,7,1,1500,0.226,0.7655,是,否,否,否,C,退回
R000179,财务部,普通员工,差旅费,3496,3496,0,3,22,2,3,6,0,1800,0.9422,0.9062,否,否,否,否,B,人工复核
R000180,采购部,普通员工,维修费,649,649,0,1,43,1,6,12,0,1500,-0.5673,0.4458,是,是,否,否,A,通过
R000181,市场部,普通员工,差旅费,1308,1308,0,4,35,2,8,2,1,1800,-0.2733,0.4074,是,否,是,是,B,退回
R000182,信息技术部,普通员工,招待费,3018,3018,0,1,42,2,8,7,2,2200,0.3718,0.8522,是,否,否,否,A,人工复核
R000183,采购部,普通员工,招待费,7394,7394,0,7,43,3,13,6,0,2200,2.3609,1.0051,是,是,否,否,A,人工复核
R000184,行政部,经理,交通费,580,580,0,1,25,1,5,11,0,350,0.6571,0.4851,是,否,否,否,A,人工复核
R000185,财务部,普通员工,差旅费,4666,4681,15,5,19,2,7,5,0,1800,1.5922,0.964,是,是,是,否,B,人工复核
R000186,生产部,主管,会议费,3851,3851,0,1,16,2,5,1,0,3200,0.2034,0.9764,是,是,否,否,A,通过
R000187,采购部,普通员工,培训费,3468,3468,0,1,4,2,16,11,0,2600,0.3338,0.8739,是,是,是,否,D,人工复核
R000188,财务部,普通员工,交通费,276,276,0,3,8,1,1,5,0,350,-0.2114,1.0171,是,是,是,否,B,退回
R000189,信息技术部,普通员工,会议费,2640,2640,0,1,1,2,14,1,2,3200,-0.175,0.6056,是,是,否,否,B,人工复核
R000190,行政部,经理,培训费,1996,2041,45,3,23,2,6,3,2,2600,-0.2323,0.4164,是,是,否,否,D,退回
R000191,行政部,普通员工,培训费,8388,8429,41,3,7,3,7,5,0,2600,2.2262,0.556,是,是,否,否,C,人工复核
R000192,采购部,普通员工,广告宣传费,17186,17209,23,8,3,4,4,7,0,5000,2.4372,0.873,是,是,否,否,A,人工复核
R000193,人力资源部,实习生,招待费,2421,2420,1,4,23,2,1,1,0,2200,0.1005,0.4292,是,否,否,否,B,通过
R000194,采购部,主管,交通费,440,440,0,1,18,1,6,3,0,350,0.2571,0.4428,是,否,否,否,B,通过
R000195,行政部,普通员工,差旅费,1274,1274,0,3,1,2,6,4,0,1800,-0.2922,0.7423,是,否,否,否,A,通过
R000196,销售部,主管,差旅费,2432,2432,0,3,33,2,5,4,2,1800,0.3511,0.4802,是,否,否,否,B,通过
R000197,销售部,主管,维修费,2418,2418,0,4,8,2,12,6,5,1500,0.612,0.6049,是,是,否,否,C,退回
R000198,人力资源部,主管,交通费,321,342,21,2,34,1,8,3,0,350,-0.0829,0.7687,是,否,否,否,B,人工复核
R000199,采购部,主管,差旅费,3284,3284,0,1,90,2,8,6,0,1800,0.8244,0.6785,是,否,否,否,A,通过
R000200,财务部,主管,招待费,3977,3977,0,1,14,2,0,5,0,2200,0.8077,0.9295,是,是,否,否,A,人工复核
R000201,人力资源部,主管,咨询服务费,21134,21090,44,3,19,4,2,5,0,6500,2.2514,0.9873,是,是,否,否,B,人工复核
R000202,人力资源部,普通员工,培训费,1488,1488,0,4,28,2,4,3,0,2600,-0.4277,1.0127,是,是,否,否,B,通过
R000203,采购部,普通员工,差旅费,2207,2408,201,2,36,2,5,1,1,1800,0.2261,1.1542,是,是,是,否,D,退回
R000204,财务部,经理,交通费,330,330,0,4,12,1,5,3,1,350,-0.0571,0.5272,是,否,否,否,B,通过
R000205,人力资源部,主管,差旅费,1044,1044,0,2,37,2,3,1,1,1800,-0.42,0.4687,是,否,否,否,A,通过
R000206,销售部,普通员工,咨询服务费,5238,5238,0,2,33,3,0,16,0,6500,-0.1942,0.789,是,是,否,否,A,人工复核
R000207,行政部,主管,通信费,492,492,0,2,24,1,0,1,0,280,0.7571,0.6845,是,否,否,否,A,通过
R000208,销售部,主管,差旅费,1289,1289,0,2,9,2,2,16,0,1800,-0.2839,1.0278,是,否,否,是,A,退回
R000209,信息技术部,经理,会议费,4434,4434,0,3,12,2,7,2,2,3200,0.3856,1.2185,是,是,否,否,A,人工复核
R000210,采购部,经理,广告宣传费,2226,2226,0,1,26,2,5,5,3,5000,-0.5548,0.3553,是,是,否,否,C,退回
R000211,财务部,普通员工,招待费,3622,3622,0,2,20,2,2,3,0,2200,0.6464,0.6255,是,否,否,否,C,人工复核
R000212,信息技术部,普通员工,通信费,884,884,0,3,6,1,7,4,4,280,2.1571,0.6346,是,是,否,否,B,人工复核
R000213,销售部,普通员工,办公用品,775,775,0,3,15,1,4,2,0,700,0.1071,0.7434,是,是,否,否,A,通过
R000214,财务部,实习生,广告宣传费,23060,23060,0,6,14,4,7,1,1,5000,3.612,0.8199,是,是,否,否,B,人工复核
